id,notice_en,period_en,location_en,details_en,notice_fr,period_fr,location_fr,details_fr,dt_start,dt_end,person_candidates
1312403417695,"1312403417695 Notice of half-masting: Death of the Honourable Allan Blakeney, P.C., O.C., S.O.M., D.C.L., F.R.S.C., Q.C., former Premier of Saskatchewan, who passed away on April 16, 2011.","Masting period: From April 16 until sunset on Saturday, April 23, 2011, the day of the funeral of the late Honourable Allan Blakeney. Saturday, May 7, 2011, the day of the memorial service for the late Honourable Allan Blackeney.","Masting location(s): April 16 to 23, 2011: All Government of Canada buildings and establishments in the province of Saskatchewan. May 7, 2011: All Government of Canada buildings and establishments in the province of Saskatchewan and the Peace Tower on Parliament Hill in Ottawa.",Additional details: Rules for Half-masting the National Flag of Canada (Section 7),"1312403417695 Avis de mise en berne : Décès de l’honorable Allan Blackeny, P.C., O.C., S.O.M., D.C.L., F.R.S.C., Q.C., ancien premier ministre de la Saskatchewan, survenu le 16 avril 2011.","Période de mise en berne : Du 16 avril jusqu’au crépuscule le samedi 23 avril 2011, jour des funérailles de feu l’honorable Allan Blackeny. Le 7 mai 2011, jour du service commémorative de feu l’honorable Allan Blackeny.",Endroit(s) de la mise en berne : Du 16 au 23 avril : Tous les édifices et établissements du gouvernement du Canada dans la province de la Saskatchewan. Le  7 mai 2011 :Tous les édifices et établissements du gouvernement du Canada dans la province de la Saskatchewan ainsi que sur la  Tour de la Paix sur la Colline du Parlement à Ottawa.,Détails supplémentaires : Règles pour la mise en berne du drapeau national du Canada (Section 7),2011-04-16,2011-04-23,"[('Allan Blakeney', 2), ('Allan Blackeny', 2), ('Allan Blackeney', 1), ('ministre de la Saskatchewan', 1), ('Période', 1), ('Du', 1), ('Du 16', 1)]"
1312403640951,1312403640951 Notice of half-masting: Day of Mourning for Persons Killed or Injured in the Workplace,"Masting period: From sunrise to sunset Thursday, April 28, 2011.",Masting location(s): All Government of Canada buildings and establishments across Canada.,Additional details: Rules for Half-masting the National Flag of Canada (Section 11),1312403640951 Avis de mise en berne : Jour de compassion pour les personnes tuées ou blessées au travail.,"Période de mise en berne : De l’aube au crépuscule le jeudi 28 avril 2011, pour souligner ce jour de compassion",Endroit(s) de la mise en berne : Tous les édifices et établissements du gouvernement du Canada partout au pays.,Détails supplémentaires : Règles pour la mise en berne du drapeau national du Canada (Section 11),2011-04-28,2011-04-28,"[('Période', 1)]"
1312403829126,"1312403829126 Notice of half-masting: Death of Patrick Michael Hayes, former Member of the Legislative Assembly of Ontario for the Riding of Essex-Kent.","Masting period: From sunrise to sunset on Friday, May 6, 2011, the day of the funeral for Patrick Michael Hayes.","Masting location(s): All Government of Canada buildings and establishments in the riding of Essex-Kent, Ontario.",Additional details: Rules for Half-masting the National Flag of Canada (Section 10),"1312403829126 Avis de mise en berne : Décès de Patrick Michael Hayes, ancien député de l’Assemblée législative de l’Ontario dans la circonscription d’Essex-Kent.","Période de mise en berne : De l’aube au crépuscule le vendredi 6 mai 2011, jour des funérailles de feu Patrick Michael Hayes.","Endroit(s) de la mise en berne : Tous les édifices et établissements du gouvernement du Canada dans la circonscription d’Essex-Kent, Ontario.",Détails supplémentaires : Règles pour la mise en berne du drapeau national du Canada (Section 10),2011-05-06,2011-05-06,"[('Patrick Michael Hayes', 3), ('Décès de Patrick Michael Hayes', 1), ('ancien député de l’Assemblée', 1), ('Période', 1)]"
1312404061192,"1312404061192 Notice of half-masting: Death of Bombardier Karl Manning from the Canadian Forces in Afghanistan on May 27, 2011.",Masting period: See Rules for Half-masting the National Flag of Canada (Section 14),Masting location(s): See  Rules for Half-masting the National Flag of Canada (Section 14),Additional details: Rules for Half-masting the National Flag of Canada (Section 14) Fallen Canadians Death of a member of the Canadian Forces is marked in accordance with the Protocol established by the Department of National Defense.,"1312404061192 Avis de mise en berne : Décès du Bombardier Karl Manning des Forces canadienne, survenu le 27 mai 2011.",Période de mise en berne : Voir les Règles pour la mise en berne du drapeau national du Canada (section 14).,Endroit(s) de la mise en berne : Voir les Règles pour la mise en berne du drapeau national du Canada (section 14),Détails supplémentaires : Règles pour la mise en berne du drapeau national du Canada (Section 14) Nos Canadiens disparus Le décès d’un membre des Forces canadiennes est souligné conformément au protocole établi par le ministère de la Défense nationale.,,,"[('Karl Manning', 1), ('Décès', 1), ('Bombardier Karl Manning des Forces', 1), ('Période', 1), ('Nos Canadiens', 1)]"
1312404292024,"1312404292024 Notice of half-masting: Death of Bruce Crozier, member of the Legislative Assembly of Ontario for the riding of Essex.","Masting period: From May 27 until sunset, Wednesday, June 8, 2011, the day of the funeral of Bruce Crozier.","Masting location(s): All Government of Canada buildings and establishments in the riding of Essex, Ontario.","Additional details: Rules for Half-masting, the National Flag of Canada (Section 10)","1312404292024 Avis de mise en berne : Décès de Bruce Crozier, député de l’Assemblée législative de l’Ontario dans la circonscription d’Essex.","Période de mise en berne : Du 27 mai  jusqu’au crépuscule le mercredi 8 juin 2011, jour des funérailles de Bruce Crozier.","Endroit(s) de la mise en berne : Tous les édifices et établissements du gouvernement du Canada dans la circonscription d’Essex, Ontario.",Détails supplémentaires : Règles pour la mise en berne du drapeau national du Canada (Section 10),2011-05-27,2011-06-08,"[('Bruce Crozier', 2), ('député de l’Assemblée législative de l’Ontario dans', 1), ('Période', 1), ('Du', 1)]"
1312404468905,1312404468905 Notice of half-masting: Memorial Service for Deceased Parliamentarians,"Masting period: From 9:00 a.m. to 11:00 a.m. on Monday, June 6, 2011.",Masting location(s): The Peace Tower on Parliament Hill in Ottawa.,Additional details: Rules for Half-masting the National Flag of Canada (Section 11),1312404468905 Avis de mise en berne : Service commémoratif pour les parlementaires décédés.,Période de mise en berne : Le lundi 6 juin 2011 de 9 h à 11 h.,Endroit(s) de la mise en berne : La Tour de la Paix sur la Colline du Parlement à Ottawa.,Détails supplémentaires : Règles pour la mise en berne du drapeau national du Canada (Section 11),,2011-06-06,"[('Période', 1), ('La Tour de la Paix', 1)]"
1312404633056,1312404633056 Notice of half-masting: National Day of Remembrance for Victims of Terrorism.,"Masting period: From sunrise to sunset on Thursday, June 23, 2011.","Masting location(s): All Government of Canada buildings and establishments across the country, including the Peace Tower on Parliament Hill in Ottawa.","Additional details: Rules for Half-masting, the National Flag of Canada (Section 16)",1312404633056 Avis de mise en berne : Journée nationale du Souvenir des victimes de terrorisme.,Période de mise en berne : De l’aube au crépuscule le jeudi 23 juin 2011.,"Endroit(s) de la mise en berne : Les drapeaux sur tous les édifices et établissements du gouvernement du Canada partout au pays, incluant la Tour de la Paix sur la Colline du Parlement à Ottawa.",Détails supplémentaires : Règles pour la mise en berne du drapeau national du Canada (Section 16),2011-06-23,2011-06-23,"[('Période', 1), ('Les', 1), ('la Tour de la Paix', 1)]"
1312404834632,"1312404834632 Notice of half-masting: Death of Master Corporal Francis Roy from the Canadian Forces, who passed away on June 25, 2011.","Masting period: See Rules for Half-masting, the National Flag of Canada (Section 14)","Masting location(s): See Rules for Half-masting, the National Flag of Canada (Section 14)","Additional details: Fallen Canadians Rules for Half-masting, the National Flag of Canada (Section 14) Death of a member of the Canadian Forces is marked in accordance with the Protocol established by the Department of National Defense.",1312404834632 Avis de mise en berne : Décès du Caporal-chef Francis Roy des Forces canadiennes survenu le 25 juin 2011.,Période de mise en berne : Voir les Règles pour la mise en berne du drapeau national du Canada (section 14).,Endroit(s) de la mise en berne : Voir les Règles pour la mise en berne du drapeau national du Canada (section 14),Détails supplémentaires : Nos Canadiens disparus Règles pour la mise en berne du drapeau national du Canada (Section 14) Le décès d’un member des Forces canadiennes est souligné conformément au protocole établi par le ministère de la Défense nationale.,,,"[('Francis Roy', 1), ('Francis Roy des Forces', 1), ('Période', 1), ('Nos Canadiens', 1), ('Règles', 1)]"
1312405005452,"1312405005452 Notice of half-masting: Death of Constable Garrett Styles of the York Regional Police who was killed while on duty on June 28, 2011.","Masting period: From sunrise to sunset on Tuesday, July 5, 2011, the day of the funeral of Constable Garrett Styles.","Masting location(s): All Government of Canada buildings and establishments in the York Region, Ontario.","Additional details: Rules for Half-masting, the National Flag of Canada (Section 14)","1312405005452 Avis de mise en berne : Décès de l’agent Garrett Styles des Services de police de la région de York, Ontario, décédé en service le 28 juin 2011.","Période de mise en berne : De l’aube au crépuscule le mardi 5 juillet 2011, jour des funérailles de l'agent de police Garrett Styles.","Endroit(s) de la mise en berne : Tous les édifices et établissements du gouvernement du Canada dans la région de York, Ontario.",Détails supplémentaires : Règles pour la mise en berne du drapeau national du Canada (Section 14),2011-07-05,2011-07-05,"[('Période', 1), ('Garrett Styles', 1)]"
1312405231583,"1312405231583 Notice of half-masting: Death of William A. Ferguson, former Member of the Legislative Assembly of Ontario for the riding of Kitchener (1990 to 1994)","Masting period: Tuesday, July 26, 2011, the day of the memorial service for William A. Ferguson.","Masting location(s): All Government of Canada buildings and establishments in the City of Kitchener, Ontario.",Additional details: Rules for Half-masting the National Flag of Canada (Section 10),"1312405231583 Avis de mise en berne : Décès de William A. Ferguson, ancien député de l’Assemblée Législative de l’Ontario dans la circonscription de Kitchener  (1990-1994).","Période de mise en berne : Le mardi 26 juillet 2011, jour du service commémoratif de William A. Ferguson.","Endroit(s) de la mise en berne : Tous les édifices et établissements du gouvernement du Canada dans la ville de Kitchener, Ontario.",Détails supplémentaires : Selon les Règles pour la mise en berne du drapeau national du Canada (Section 10),2011-07-26,2011-07-26,"[('William A. Ferguson', 2), ('Kitchener', 1), ('Décès de William A. Ferguson', 1), ('ancien député de l’Assemblée', 1), ('de Kitchener', 1), ('Période', 1), ('de William A. Ferguson', 1), ('la ville de Kitchener', 1)]"
